"SY","ATTEND_PERIOD","DIST_CODE","DIST_NAME","ORG_CODE","ORG_NAME","ORG_TYPE","STU_GRP","ATTEND_RATE","CNT_AVG_ABS","PCT_ABS_10_DAYS","PCT_CHRON_ABS_10","PCT_CHRON_ABS_20","PCT_UNEXC_10_DAYS","DISTRICT_AND_SCHOOL"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","White","90.5%","9.9","50%","50%","16.7%","33.3%","Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","High Needs","91.2%","9.2","39.1%","34.5%","8.7%","21.6%","Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","English Learners","91.6%","8.8","38.6%","32.5%","7.9%","23.7%","Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","Low Income","91%","9.4","39.8%","35.4%","9.1%","22.1%","Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","Students with Disabilities","90.1%","10.4","42.3%","35.6%","12.1%","23.5%","Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","Female","91.1%","9.4","37.9%","33%","9.3%","19.4%","Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","Male","91.4%","8.9","38.7%","35.1%","7.7%","22.5%","Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810025","Brightwood","School","All Students","89.9%","10.5","45.1%","41.2%","13.1%","32.1%","Springfield - Brightwood"
"2026","March","02810000","Springfield","02810025","Brightwood","School","Black or African American","90.1%","10.3","40%","36.7%","16.7%","36.7%","Springfield - Brightwood"
"2026","March","02810000","Springfield","02810025","Brightwood","School","Hispanic or Latino","89.8%","10.6","45.8%","41.7%","13%","32.1%","Springfield - Brightwood"
"2026","March","02810000","Springfield","02810025","Brightwood","School","Multi-Race, Not Hispanic or Latino",,,,,,,"Springfield - Brightwood"
"2026","March","02810000","Springfield","02810025","Brightwood","School","White","93.6%","6.7","27.3%","27.3%","0%","18.2%","Springfield - Brightwood"
"2026","March","02810000","Springfield","02810025","Brightwood","School","High Needs","89.8%","10.7","45.9%","41.9%","13.3%","32.8%","Springfield - Brightwood"
"2026","March","02810000","Springfield","02810025","Brightwood","School","English Learners","88.9%","11.4","47.4%","43.9%","14.9%","34.2%","Springfield - Brightwood"
"2026","March","02810000","Springfield","02810025","Brightwood","School","Low Income","89.6%","10.8","46.6%","42.6%","13.9%","33.4%","Springfield - Brightwood"
"2026","March","02810000","Springfield","02810025","Brightwood","School","Students with Disabilities","90.2%","10.2","46%","42.1%","10.3%","24.6%","Springfield - Brightwood"
"2026","March","02810000","Springfield","02810025","Brightwood","School","Female","90%","10.4","44.9%","40.7%","13.2%","33.3%","Springfield - Brightwood"
"2026","March","02810000","Springfield","02810025","Brightwood","School","Male","89.7%","10.7","45.5%","41.6%","12.9%","30.6%","Springfield - Brightwood"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","All Students","96.6%","3.6","9.7%","7.6%","0.3%","4.2%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","Asian","98.7%","1.4","0%","0%","0%","0%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","Black or African American","96.7%","3.5","13.6%","8.5%","0%","3.4%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","Hispanic or Latino","96.6%","3.6","8.7%","7.7%","0.5%","4.4%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","Multi-Race, Not Hispanic or Latino","95.3%","5.1","15.4%","15.4%","0%","15.4%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
