"SY","DIST_CODE","DIST_NAME","IND_CAT","IND_SUBCAT","IND_VALUE","IND_VALUE_TYPE"
"2015","02810000","Springfield","Student Demographics","English learner % Headcount","17.2","Percent"
"2015","02810000","Springfield","Student Demographics","Low-Income % Headcount","67.6","Percent"
"2015","02810000","Springfield","Student Demographics","Student Headcount","25,645","Count"
"2015","02810000","Springfield","Student Demographics","Students with disabilities % Headcount","19.5","Percent"
"2015","02810000","Springfield","Teacher Salaries","Teacher FTE","1,997.6","Count"
"2015","02810000","Springfield","Teacher Salaries","Teachers per 100 FTE students","8","Count"
"2015","02810000","Springfield","Other Staff","Instructional Coach FTE","80.4","Count"
"2015","02810000","Springfield","Other Staff","Instructional Support FTE","222","Count"
"2015","02810000","Springfield","Other Staff","Paraprofessional FTE","713","Count"
"2015","02810000","Springfield","Other Staff","Special Education Instructional Support FTE","0","Count"
"2015","02810000","Springfield","MCAS Performance","ELA Grade 10 % Meets or Exceeds","75","Percent"
"2015","02810000","Springfield","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","46.4","Percent"
"2015","02810000","Springfield","MCAS Performance","Math Grade 10 % Meets or Exceeds","46.4","Percent"
"2015","02810000","Springfield","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","38.1","Percent"
"2015","02810000","Springfield","Expenditures Per Pupil","Administration","596","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Guidance, Counseling and Testing","408","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Instructional Leadership","1,208","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","893","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2,467","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Operations and Maintenance","1,121","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Other Teaching Services","1,150","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Professional Development","348","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Pupil Services","1,985","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Teachers","4,963","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Total Expenditures","15,028","Amount"
"2015","02810000","Springfield","Expenditures Per Pupil","Total In-District Expenditures","15,139","Amount"
"2014","02810000","Springfield","Student Enrollment","In-District FTE Pupils","25,248.9","Count"
"2014","02810000","Springfield","Student Enrollment","Out-of-District FTE Pupils","3,613.1","Count"
"2014","02810000","Springfield","Student Enrollment","Total FTE Pupils","28,862","Count"
"2014","02810000","Springfield","Student Demographics","English learner % Headcount","17","Percent"
"2014","02810000","Springfield","Student Demographics","Low-Income % Headcount","87.3","Percent"
"2014","02810000","Springfield","Student Demographics","Student Headcount","25,826","Count"
"2014","02810000","Springfield","Student Demographics","Students with disabilities % Headcount","19.3","Percent"
"2014","02810000","Springfield","Teacher Salaries","Teacher FTE","2,120.5","Count"
"2014","02810000","Springfield","Teacher Salaries","Teachers per 100 FTE students","8.4","Count"
"2014","02810000","Springfield","Other Staff","Instructional Coach FTE","87.2","Count"
"2014","02810000","Springfield","Other Staff","Instructional Support FTE","221","Count"
"2014","02810000","Springfield","Other Staff","Paraprofessional FTE","704","Count"
"2014","02810000","Springfield","Other Staff","Special Education Instructional Support FTE","0","Count"
"2014","02810000","Springfield","MCAS Performance","ELA Grade 10 % Meets or Exceeds","70.7","Percent"
"2014","02810000","Springfield","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","41.4","Percent"
"2014","02810000","Springfield","MCAS Performance","Math Grade 10 % Meets or Exceeds","42.9","Percent"
"2014","02810000","Springfield","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","33.2","Percent"
"2014","02810000","Springfield","Expenditures Per Pupil","Administration","677","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Guidance, Counseling and Testing","405","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Instructional Leadership","1,245","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","1,402","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2,496","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Operations and Maintenance","997","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Other Teaching Services","1,086","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Professional Development","332","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Pupil Services","1,852","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Teachers","4,823","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Total Expenditures","15,208","Amount"
"2014","02810000","Springfield","Expenditures Per Pupil","Total In-District Expenditures","15,315","Amount"
"2013","02810000","Springfield","Student Enrollment","In-District FTE Pupils","24,747.4","Count"
"2013","02810000","Springfield","Student Enrollment","Out-of-District FTE Pupils","3,816.7","Count"
"2013","02810000","Springfield","Student Enrollment","Total FTE Pupils","28,564.1","Count"
